Posting Date,Sender/Reciver,Account,Title,Amount,Currency,Type,Category
2021-03-27,Auchan,,Payment by card 12345,-37.4,USD,Card Payment,Groceries
2021-03-27,Nature,,Payment by card 12345,-99.99,USD,Card Payment,Medicine
2021-03-27,Auchan,,Payment by card 12345,-86.9,USD,Card Payment,Groceries
2021-03-26,DelyMay,,Payment by card 12345,-9.18,USD,Card Payment,Groceries
2021-03-26,Kaufland,,Payment by card 12345,-304.38,USD,Card Payment,Groceries
2021-03-26,RayBan,,Payment by card 67890,-218.9,USD,Card Payment,Glasses and Lenses
2021-03-26,Hearts Bakery,,Payment by card 12345,-5.37,USD,Card Payment,Groceries
2021-03-26,PayPal,,BLIK,-74.95,USD,BLIK Payment,No Category
2021-03-25,Interest,,,-18.69,USD,Interest,Interest
2021-03-25,Interest,,,-1.53,USD,Interest,Interest
2021-03-25,Car Wash,,,-5.0,USD,Purchase,"Car wash, inspections and repairs "
2021-03-25,Fresh Market,,Payment by card 12345,-12.0,USD,Card Payment,Groceries
2021-03-25,PayPal,,BLIK,-59.99,USD,BLIK Payment,No Category
2021-03-24,Fresh Market,,Payment by card 12345,-14.98,USD,Card Payment,Groceries
2021-03-23,Auchan,,Payment by card 12345,-120.18,USD,Card Payment,Groceries
2021-03-23,Juliet Bakery,,Payment by card 67890,-13.6,USD,Card Payment,Groceries
2021-03-23,Best Burgers,,Payment by card 12345,-44.0,USD,Card Payment,Restaurant and Cafes
2021-03-23,Best Cakes In,,Payment by card 12345,-12.5,USD,Card Payment,Groceries
2021-03-23,Fresh Market,,Payment by card 12345,-6.5,USD,Card Payment,Groceries
2021-03-22,PayPal,,BLIK,-99.03,USD,BLIK Payment,No Category
2021-03-22,PayPal,,BlIK,-71.29,USD,BLIK Payment,No Category
2021-03-22,La vie en Rose,,Payment by card 12345,-26.0,USD,Card Payment,Groceries
2021-03-22,BP,,Payment by card 12345,-217.38,USD,Card Payment,Fuel
2021-03-20,Auchan,,Payment by card 12345,-20.33,USD,Card Payment,Groceries
2021-03-20,DelyMay,,Payment by card 12345,-5.4,USD,Card Payment,Groceries
2021-03-20,Drugstore,,Payment by card 12345,-18.0,USD,Card Payment,Medicine
2021-03-20,Auchan,,Payment by card 12345,-50.98,USD,Card Payment,Groceries
2021-03-20,Rossmann,,Payment by card 12345,-16.99,USD,Card Payment,Cosmetics
2021-03-20,PayU,,BLIK,-17.24,USD,BLIK Payment,No Category
2021-03-19,Fresh Market,,,-4.4,USD,Purchase,Groceries
2021-03-19,Auchan,,Payment by card 12345,-53.82,USD,Card Payment,Groceries
2021-03-19,Fresh Market,,Payment by card 12345,-6.0,USD,Card Payment,Groceries
2021-03-19,Auchan,,Payment by card 12345,-127.99,USD,Card Payment,Groceries
2021-03-19,Lidl,,Payment by card 12345,-10.09,USD,Card Payment,Groceries
2021-03-19,,8888888888,Master Card Tax,-3.99,USD,,Bank Charges
2021-03-19,Lidl,,Payment by card 12345,-5.98,USD,Card Payment,Groceries
2021-03-18,Lidl,,Payment by card 12345,-8.99,USD,Card Payment,Groceries
2021-03-18,Cookie and Cofe,,Payment by card 12345,-13.8,USD,Card Payment,Groceries
2021-03-17,Four Seasons Restaurant,,Payment by card 12345,-37.0,USD,Card Payment,Restaurant and Cafes
2021-03-16,Ticket Direct,,,-576.0,USD,Purchase,Cinema and Theater
2021-03-16,Hearts Bakery,,Payment by card 12345,-8.98,USD,Card Payment,Groceries
2021-03-16,Flowers and More,,Payment by card 12345,-67.4,USD,Card Payment,Garden
2021-03-16,Lidl,,Payment by card 12345,-3.17,USD,Card Payment,Groceries
2021-03-15,Car Wash,,,-6.0,USD,Purchase,"Car wash, inspections and repairs "
2021-03-15,Auchan,,Payment by card 12345,-129.56,USD,Card Payment,Groceries
2021-03-15,,4444444444,Credit 0981,-857.6,USD,Repayment,Credit/Loan Repayment
2021-03-15,UPC,3333333333,Internet Sub,-39.0,USD,Transfer,"Internet, TV, Telephone"
2021-03-15,Best Burgers,,Payment by card 12345,-49.0,USD,Card Payment,Restaurant and Cafes
2021-03-13,Lidl,,Payment by card 12345,-29.82,USD,Card Payment,Groceries
2021-03-13,Lidl,,Payment by card 12345,-81.23,USD,Card Payment,Groceries
2021-03-12,Auchan,,Payment by card 12345,-8.31,USD,Card Payment,Groceries
2021-03-11,VOD,,,-15.0,USD,Purchase,"Internet, TV, Telephone"
2021-03-11,Tesco,,Payment by card 12345,-20.46,USD,Card Payment,Groceries
2021-03-11,Best Burgers,,Payment by card 12345,-46.0,USD,Card Payment,Restaurant and Cafes
2021-03-11,Town Hall,2345678901,Real Estate Tax,-62.0,USD,BLIK Payment,Taxes
2021-03-11,Town Hall,2345678901,Real Estate Tax,-59.0,USD,BLIK Payment,Taxes
2021-03-11,Town Hall,2345678901,Real Estate Tax,-58.0,USD,BLIK Payment,Taxes
2021-03-11,Town Hall,2345678901,Real Estate Tax,-55.0,USD,BLIK Payment,Taxes
2021-03-10,Master Card,2222222222,,359.0,USD,ATM Deposit,Other
2021-03-10,Cookie and Cofe,,Payment by card 12345,-14.9,USD,Card Payment,Groceries
2021-03-10,Adidas,,Payment by card 67890,-94.48,USD,Card Payment,Sport
2021-03-10,BP,,Payment by card 12345,-215.41,USD,Card Payment,Fuel
2021-03-10,Auchan,,Payment by card 67890,-78.16,USD,Card Payment,Cosmetics
2021-03-10,Anna Smith,3456789012,Own Transfer,-2000.0,USD,BLIK Payment,No Category
2021-03-10,Master Card,5678901234,Card dept,-359.0,USD,Card dept,Credit Card Repayment
2021-03-10,Orange,7890123456,,-185.0,USD,BLIK Payment,"Internet, TV, Telephone"
2021-03-10,Home Expert,7777777777,Rent,-400.71,USD,Transfer,Other
2021-03-10,Prudential Insurance,6666666666,Insurance nr 123,-72.0,USD,Transfer,No Category
2021-03-10,Green Energy,5555555555,Electricity Bill,-83.63,USD,Transfer,Electricity
2021-03-10,Best Company Ever,9999999999,Salary,7896.25,USD,Transfer,Salary
2021-03-09,Lidl,,,-23.96,USD,Purchase,Groceries
2021-03-08,Pizza e Vino,,,-29.0,USD,Purchase,Groceries
2021-03-06,Nice Cafe,,Payment by card 12345,-74.7,USD,Card Payment,Books
2021-03-06,Auchan,,Payment by card 12345,-25.41,USD,Card Payment,Groceries
2021-03-06,ING,,BLIK,-50.0,USD,BLIK Payment,No Category
2021-03-06,ING,,BLIK,-50.0,USD,BLIK Payment,No Category
2021-03-06,Orange,1234567890,,-83.94,USD,BLIK Payment,"Internet, TV, Telephone"
2021-03-05,Carrfour,,Payment by card 12345,-35.75,USD,Card Payment,Groceries
2021-03-05,Pizza Toscana,,Payment by card 12345,-33.0,USD,Card Payment,Restaurant and Cafes
2021-03-05,Highway Toll,,Payment by card 12345,-13.2,USD,Card Payment,Other
2021-03-05,McDonald's,,Payment by card 12345,-27.7,USD,Card Payment,Restaurant and Cafes
2021-03-05,BP,,Payment by card 12345,-91.97,USD,Card Payment,Fuel
2021-03-05,Ikea,,Payment by card 12345,-39.89,USD,Card Payment,Repairs and Renovations
2021-03-04,Lidl,,,-12.48,USD,Purchase,Groceries
2021-03-04,La vie en Rose,,Payment by card 12345,-33.5,USD,Card Payment,Groceries
2021-03-04,Auchan,,Payment by card 12345,-88.26,USD,Card Payment,Groceries
2021-03-04,Pierre Cardin,9999999999,Order Return,499.99,USD,Transfer,Other
2021-03-03,Auchan,,Payment by card 12345,-18.65,USD,Card Payment,Groceries
2021-03-03,Ikea,,Payment by card 12345,-47.5,USD,Card Payment,Equipment
2021-03-03,Gigi,,Payment by card 12345,-25.0,USD,Card Payment,Restaurant and Cafes
2021-03-03,Nature,,Payment by card 12345,-71.95,USD,Card Payment,Cosmetics
2021-03-03,Lidl,,Payment by card 12345,-51.77,USD,Card Payment,Groceries
2021-03-03,,8888888888,Tax,-5.0,USD,,Bank Charges
2021-03-02,Slice of Bread,,Payment by card 12345,-8.55,USD,Card Payment,Groceries
2021-03-02,Lidl,,Payment by card 12345,-11.25,USD,Card Payment,Groceries
2021-03-01,Lidl,,,-10.84,USD,Purchase,Groceries
2021-03-01,Auchan,,Payment by card 12345,-42.05,USD,Card Payment,Groceries
2021-03-01,Fresh Market,,Payment by card 12345,-12.59,USD,Card Payment,Groceries
2021-02-27,,9999999999,Interest on the Deposit,0.01,USD,Interest on the Deposit,"Interest, Return on Investment"
2021-02-27,,,Tax Collected,-0.01,USD,Tax Collected,Taxes
2021-02-27,Lidl,,Payment by card 12345,-7.03,USD,Card Payment,Groceries
2021-02-27,Blue Media,,BLIK,-568.99,USD,BLIK Payment,No Category
2021-02-27,Meat Love,,Payment by card 12345,-25.31,USD,Card Payment,Groceries
2021-02-27,Lidl,,Payment by card 12345,-32.75,USD,Card Payment,Groceries
2021-02-27,Car Parking,,Payment by card 12345,-4.0,USD,Card Payment,Other
2021-02-27,Zara,,Payment by card 12345,-60.68,USD,Card Payment,Clothes
2021-02-27,Starbucks,,Payment by card 12345,-21.98,USD,Card Payment,Equipment
2021-02-27,Car Wash,,Payment by card 12345,-5.0,USD,Card Payment,"Car wash, inspections and repairs "
2021-02-26,Ti Amo,,Payment by card 12345,-30.0,USD,Card Payment,Restaurant and Cafes
2021-02-26,Kaufland,,Payment by card 12345,-87.25,USD,Card Payment,Groceries
2021-02-26,BP,,Payment by card 12345,-198.0,USD,Card Payment,Fuel
2021-02-25,Rossmann,,Payment by card 67890,-85.44,USD,Card Payment,Cosmetics
2021-02-25,VOD,,Payment by card 12345,-14.99,USD,Card Payment,"Internet, TV, Telephone"
2021-02-25,Interest,,,-21.02,USD,Interest,Interest
2021-02-25,Interest,,,-1.52,USD,Interest,Interest
2021-02-25,DelyMay,,Payment by card 12345,-6.88,USD,Card Payment,Groceries
2021-02-25,Lidl,,Payment by card 12345,-53.71,USD,Card Payment,Groceries
2021-02-24,Auchan,,Payment by card 12345,-75.05,USD,Card Payment,Groceries
2021-02-24,Ikea,,Payment by card 12345,-52.91,USD,Card Payment,Repairs and Renovations
2021-02-23,Lidl,,Payment by card 12345,-14.47,USD,Card Payment,Groceries
2021-02-23,Auchan,,Payment by card 12345,-85.24,USD,Card Payment,Groceries
2021-02-23,Rossmann,,Payment by card 12345,-45.41,USD,Card Payment,Cosmetics
2021-02-22,Car Wash,,Payment by card 12345,-15.0,USD,Card Payment,"Car wash, inspections and repairs "
2021-02-20,ABC,,Payment by card 12345,-10.65,USD,Card Payment,Groceries
2021-02-20,Indian Food,,Payment by card 12345,-4.0,USD,Card Payment,Restaurant and Cafes
2021-02-20,ABC,,Payment by card 12345,-7.2,USD,Card Payment,Groceries
2021-02-20,Waffles,,Payment by card 12345,-45.0,USD,Card Payment,Restaurant and Cafes
2021-02-20,ShoeShop,9012345678,Transfer,-71.8,USD,BLIK Payment,No Category
2021-02-19,Highway Toll,,,-1.0,USD,Purchase,Other
2021-02-19,Lidl,,,-12.48,USD,Purchase,Groceries
2021-02-19,Lidl,,Payment by card 12345,-70.21,USD,Card Payment,Groceries
2021-02-19,Lidl,,Payment by card 12345,-46.32,USD,Card Payment,Groceries
2021-02-19,,8888888888,Master Card Tax,-3.99,USD,,Bank Charges
2021-02-18,Auchan,,Payment by card 12345,-114.04,USD,Card Payment,Groceries
2021-02-18,Slice of Bread,,,-4.75,USD,Purchase,Groceries
2021-02-18,Best Company Ever,9999999999,Premia,470.0,USD,Transfer,Other
2021-02-17,The Dumplings,,Payment by card 12345,-30.4,USD,Card Payment,Restaurant and Cafes
2021-02-17,Car Parking,,Payment by card 12345,-4.0,USD,Card Payment,Other
2021-02-17,Gino Rossi,,Payment by card 12345,-183.99,USD,Card Payment,Footwear
2021-02-17,Zara,,Payment by card 12345,-119.99,USD,Card Payment,Clothes
2021-02-17,Auchan,,Payment by card 12345,-37.89,USD,Card Payment,Groceries
2021-02-16,PayPal,,BLIK,-19.9,USD,BLIK Payment,No Category
2021-02-16,Lidl,,Payment by card 12345,-106.34,USD,Card Payment,Groceries
2021-02-15,Kaufland,,Payment by card 12345,-59.43,USD,Card Payment,Groceries
2021-02-15,Kaufland,,Payment by card 12345,-12.97,USD,Card Payment,Groceries
2021-02-15,ABC,,Payment by card 12345,-19.66,USD,Card Payment,Groceries
2021-02-15,,4444444444,Credit 0981,-857.6,USD,Repayment,Credit/Loan Repayment
2021-02-15,UPC,3333333333,Internet Sub,-39.0,USD,Transfer,"Internet, TV, Telephone"
2021-02-15,McDonald's,,Payment by card 12345,-16.7,USD,Card Payment,Restaurant and Cafes
2021-02-15,Four Seasons Restaurant,,Payment by card 12345,-36.0,USD,Card Payment,Restaurant and Cafes
2021-02-13,Auchan,,Payment by card 12345,-46.62,USD,Card Payment,Groceries
2021-02-13,Rossmann,,Payment by card 12345,-142.72,USD,Card Payment,Cosmetics
2021-02-12,CV for You,,,-59.9,USD,Purchase,Multimedia
2021-02-12,Gigi,,Payment by card 12345,-13.08,USD,Card Payment,Groceries
2021-02-12,Gigi,,Payment by card 12345,-25.25,USD,Card Payment,Groceries
2021-02-12,Drugstore,,Payment by card 12345,-14.99,USD,Card Payment,Medicine
2021-02-12,DPD,,Payment by card 67890,-259.99,USD,Card Payment,No Category
2021-02-11,Asics,,Payment by card 12345,-24.99,USD,Card Payment,Footwear
2021-02-11,TK Maxxx,,Payment by card 12345,-229.97,USD,Card Payment,Other
2021-02-11,The Muffins,,Payment by card 12345,-10.0,USD,Card Payment,Groceries
2021-02-11,Mohito,,Payment by card 12345,-89.97,USD,Card Payment,Clothes
2021-02-11,Ikea,,Payment by card 12345,-59.0,USD,Card Payment,Equipment
2021-02-11,Wrangler,,Payment by card 12345,-419.98,USD,Card Payment,Clothes
2021-02-10,Master Card,2222222222,,363.0,USD,ATM Deposit,Other
2021-02-10,Kaufland,,Payment by card 12345,-102.69,USD,Card Payment,Groceries
2021-02-10,BP,,Payment by card 12345,-194.72,USD,Card Payment,Fuel
2021-02-10,Anna Smith,3456789012,Own Transfer,-2000.0,USD,Transfer,Transfer
2021-02-10,T-mobile,9876543210,Credit 0543,-495.0,USD,BLIK Payment,No Category
2021-02-10,Master Card,5678901234,Card dept,-363.0,USD,Card dept,Credit Card Repayment
2021-02-10,Home Expert,7777777777,Rent,-400.71,USD,Transfer,Other
2021-02-10,Best Company Ever,9999999999,Salary,7879.67,USD,Transfer,Salary
2021-02-10,Green Energy,5555555555,Electricity Bill,-83.63,USD,Transfer,Electricity
2021-02-10,Prudential Insurance,6666666666,Insurance nr 123,-72.0,USD,Transfer,No Category
2021-02-09,VOD,,,-15.0,USD,Purchase,"Internet, TV, Telephone"
2021-02-09,PayU,9999999999,Order Return,529.0,USD,Transfer,Sale
2021-01-30,,9999999999,Interest on the Deposit,0.01,USD,Interest on the Deposit,"Interest, Return on Investment"
2021-01-30,,,Tax Collected,-0.01,USD,Tax Collected,Taxes
2021-01-28,CV for You,,,-2.95,USD,Purchase,Multimedia
2021-01-28,CV for You,,,-3.0,USD,Purchase,Multimedia
2021-01-28,Auchan,,Payment by card 12345,-8.87,USD,Card Payment,Groceries
2021-01-28,Lidl,,Payment by card 12345,-40.77,USD,Card Payment,Groceries
2021-01-27,Kaufland,,Payment by card 12345,-142.57,USD,Card Payment,Groceries
2021-01-26,Auchan,,Payment by card 12345,-12.39,USD,Card Payment,Groceries
2021-01-26,VOD,,Payment by card 12345,-14.99,USD,Card Payment,"Internet, TV, Telephone"
2021-01-26,BP,,,-204.34,USD,Purchase,Fuel
2021-01-26,Adidas,9999999999,Order Return,107.91,USD,Transfer,Other
2021-01-26,Auchan,,Payment by card 12345,-7.38,USD,Card Payment,Groceries
2021-01-25,Interest,,,-21.53,USD,Interest,Interest
2021-01-25,Car Wash,,,-5.0,USD,Purchase,"Car wash, inspections and repairs "
2021-01-25,Lidl,,Payment by card 12345,-120.47,USD,Card Payment,Groceries
2021-01-25,Hearts Bakery,,Payment by card 12345,-4.79,USD,Card Payment,Groceries
2021-01-25,Auchan,,Payment by card 12345,-4.86,USD,Card Payment,Groceries
2021-01-23,Kaufland,,Payment by card 12345,-82.74,USD,Card Payment,Groceries
2021-01-23,Car Wash,,Payment by card 12345,-5.0,USD,Card Payment,"Car wash, inspections and repairs "
2021-01-23,Gigi,,Payment by card 12345,-23.21,USD,Card Payment,Restaurant and Cafes
2021-01-23,Nature,,Payment by card 12345,-25.97,USD,Card Payment,Cosmetics
2021-01-23,Auchan,,Payment by card 12345,-34.44,USD,Card Payment,Groceries
2021-01-22,Lidl,,Payment by card 12345,-52.01,USD,Card Payment,Groceries
2021-01-22,Post Office,,Payment by card 12345,-2.8,USD,Card Payment,No Category
2021-01-22,Car Wash,,Payment by card 12345,-5.0,USD,Card Payment,"Car wash, inspections and repairs "
2021-01-22,Car Wash,,Payment by card 12345,-5.0,USD,Card Payment,"Car wash, inspections and repairs "
2021-01-22,,8888888888,Master Card Tax,-3.99,USD,,Bank Charges
2021-01-21,Auchan,,Payment by card 12345,-31.56,USD,Card Payment,Groceries
2021-01-21,Auchan,,Payment by card 12345,-8.45,USD,Card Payment,Groceries
2021-01-20,Auchan,,Payment by card 12345,-27.62,USD,Card Payment,Groceries
2021-01-20,Auchan,,Payment by card 12345,-11.41,USD,Card Payment,Groceries
2021-01-20,Rossmann,,Payment by card 12345,-9.17,USD,Card Payment,Cosmetics
2021-01-19,Auchan,,Payment by card 12345,-28.75,USD,Card Payment,Groceries
2021-01-19,Nature,,Payment by card 12345,-44.97,USD,Card Payment,Cosmetics
2021-01-19,Auchan,,Payment by card 12345,-8.47,USD,Card Payment,Groceries
2021-01-18,Master Card,2222222222,,365.0,USD,ATM Deposit,Other
2021-01-18,Four Seasons Restaurant,,Payment by card 12345,-29.0,USD,Card Payment,Restaurant and Cafes
2021-01-18,Rossmann,,Payment by card 12345,-130.39,USD,Card Payment,Cosmetics
2021-01-18,Master Card,4567890123,Card dept,-365.0,USD,Transfer,Credit Card Repayment
2021-01-18,Auchan,,Payment by card 12345,-7.96,USD,Card Payment,Groceries
2021-01-18,Fresh Market,,Payment by card 12345,-12.1,USD,Card Payment,Groceries
2021-01-16,Auchan,,Payment by card 12345,-65.55,USD,Card Payment,Groceries
2021-01-16,PayU,,BLIK,-86.97,USD,BLIK Payment,No Category
2021-01-15,Auchan,,Payment by card 12345,-187.08,USD,Card Payment,Groceries
2021-01-15,Ikea,,Payment by card 12345,-183.43,USD,Card Payment,Equipment
2021-01-15,Audi,0000000000,Credit 1144,-75.0,USD,BLIK Payment,Credit/Loan Repayment
2021-01-15,,4444444444,Credit 0981,-857.6,USD,Repayment,Credit/Loan Repayment
2021-01-15,UPC,3333333333,Internet Sub,-39.0,USD,Transfer,"Internet, TV, Telephone"
2021-01-14,Auchan,,Payment by card 12345,-88.57,USD,Card Payment,Groceries
2021-01-14,Slice of Bread,,Payment by card 12345,-6.46,USD,Card Payment,Groceries
2021-01-14,Transfers24,8765432109,Transfer,-529.0,USD,BLIK Payment,No Category
2021-01-13,Auchan,,Payment by card 12345,-67.46,USD,Card Payment,Groceries
2021-01-13,Juliet Bakery,,Payment by card 12345,-5.8,USD,Card Payment,Groceries
2021-01-12,Credite Agricole,6789012345,Credit 7822,-185.9,USD,BLIK Payment,Online Shopping
2021-01-12,ABC,,Payment by card 12345,-5.4,USD,Card Payment,Groceries
2021-01-12,Lidl,,Payment by card 12345,-61.49,USD,Card Payment,Groceries
2021-01-12,DPD,,Payment by card 12345,-170.82,USD,Card Payment,No Category
2021-01-11,Slice of Bread,,Payment by card 12345,-6.3,USD,Card Payment,Groceries
2021-01-11,Home Expert,7777777777,Rent,-400.71,USD,Transfer,Other
2021-01-11,Green Energy,5555555555,Electricity Bill,-83.63,USD,Transfer,Electricity
2021-01-11,Fresh Market,,Payment by card 12345,-12.5,USD,Card Payment,Groceries
2021-01-11,Prudential Insurance,6666666666,Insurance nr 123,-72.0,USD,Transfer,No Category
2021-01-09,Tesco,,Payment by card 12345,-27.93,USD,Card Payment,Groceries
2021-01-09,Tesco,,Payment by card 12345,-59.95,USD,Card Payment,Cosmetics
2021-01-09,Cheap Clothes,,Payment by card 12345,-47.97,USD,Card Payment,Clothes
2021-01-09,Rossmann,,Payment by card 12345,-136.41,USD,Card Payment,Cosmetics
2021-01-09,T-mobile,0987654321,Credit 0543,-495.0,USD,BLIK Payment,No Category
2021-01-09,Audi,0000000000,Credit 1144,-860.0,USD,BLIK Payment,Credit/Loan Repayment
2021-01-09,Toyota,1111111111,Credit 4567,-594.0,USD,BLIK Payment,Credit/Loan Repayment
2021-01-08,Best Company Ever,9999999999,Salary,6635.21,USD,Transfer,Salary
2021-01-08,Ikea,,Payment by card 12345,-9.25,USD,Card Payment,Repairs and Renovations
2021-01-07,Lidl,,Payment by card 12345,-9.25,USD,Card Payment,Groceries
2021-01-05,KFC,,,-10.0,USD,Purchase,Restaurant and Cafes
2021-01-05,Miss Butterfly,,,-29.0,USD,Purchase,Clothes
2021-01-04,Four Seasons Restaurant,,,-23.0,USD,Purchase,Restaurant and Cafes
2021-01-02,Bookstore,,,-46.0,USD,Purchase,Restaurant and Cafes
2021-01-01,Fresh Market,,,-16.99,USD,Purchase,Groceries
2021-01-01,Kaufland,,,-140.34,USD,Purchase,Groceries
2020-12-31,Kaufland,,,-15.75,USD,Purchase,Groceries
2020-12-31,ABC,,,-25.7,USD,Purchase,Groceries
2020-12-31,,9999999999,Interest on the Deposit,0.01,USD,Interest on the Deposit,"Interest, Return on Investment"
2020-12-31,,,Tax Collected,-0.01,USD,Tax Collected,Taxes
2020-12-30,Burger King,,,-10.0,USD,Purchase,Restaurant and Cafes
2020-12-28,Lidl,,Payment by card 12345,-81.2,USD,Card Payment,Groceries
2020-12-28,VOD,,Payment by card 12345,-14.99,USD,Card Payment,"Internet, TV, Telephone"
2020-12-28,Fresh Market,,Payment by card 12345,-21.59,USD,Card Payment,Groceries
2020-12-25,Interest,,,-23.12,USD,Interest,Interest
2020-12-25,Interest,,,-3.43,USD,Interest,Interest
2020-12-24,Ikea,,Payment by card 12345,-50.63,USD,Card Payment,Groceries
2020-12-23,Lidl,,Payment by card 12345,-55.42,USD,Card Payment,Groceries
2020-12-23,Fresh Market,,Payment by card 12345,-16.1,USD,Card Payment,Groceries
2020-12-22,Auchan,,Payment by card 12345,-35.58,USD,Card Payment,Groceries
2020-12-22,InMedio,,Payment by card 12345,-19.99,USD,Card Payment,Newspapers and Magazines
2020-12-22,Diamonds,,Payment by card 12345,-30.0,USD,Card Payment,Acessories and Jewelry
2020-12-22,Blue Media,9999999999,Tax,1.0,USD,Transfer,Other
2020-12-22,Auchan,,Payment by card 12345,-11.66,USD,Card Payment,Groceries
2020-12-21,Master Card,2222222222,,401.0,USD,ATM Deposit,Other
2020-12-21,Otto,,Payment by card 67890,-19.99,USD,Card Payment,Clothes
2020-12-21,Auchan,,Payment by card 12345,-4.07,USD,Card Payment,Groceries
2020-12-21,Waffles,,Payment by card 67890,-22.0,USD,Card Payment,Restaurant and Cafes
2020-12-21,Master Card,4567890123,Card dept,-401.0,USD,Transfer,Credit Card Repayment
2020-12-21,Nike,,Payment by card 12345,-199.99,USD,Card Payment,Footwear
2020-12-21,Carrfour,,Payment by card 12345,-52.81,USD,Card Payment,Groceries
2020-12-21,Home & You,,Payment by card 12345,-49.99,USD,Card Payment,Equipment
2020-12-21,Home & You,,Payment by card 12345,-26.98,USD,Card Payment,Equipment
2020-12-21,Rossmann,,Payment by card 12345,-92.53,USD,Card Payment,Cosmetics
